"x" "y" "z"
"486" 125.5 88.5 -2.38418579101562e-07
"487" 126.5 88.5 -2.38418579101562e-07
"488" 127.5 88.5 -2.38418579101562e-07
"489" 128.5 88.5 -2.38418579101562e-07
"490" 129.5 88.5 -2.38418579101562e-07
"491" 130.5 88.5 -2.38418579101562e-07
"492" 131.5 88.5 -2.38418579101562e-07
"493" 132.5 88.5 -2.38418579101562e-07
"494" 133.5 88.5 -2.38418579101562e-07
"495" 134.5 88.5 -2.38418579101562e-07
"496" 135.5 88.5 -2.38418579101562e-07
"497" 136.5 88.5 -2.38418579101562e-07
"498" 137.5 88.5 -2.38418579101562e-07
"499" 138.5 88.5 -2.38418579101562e-07
"500" 139.5 88.5 -2.38418579101562e-07
"501" 140.5 88.5 -2.38418579101562e-07
"502" 141.5 88.5 -2.38418579101562e-07
"503" 142.5 88.5 -2.38418579101562e-07
"504" 143.5 88.5 -2.38418579101562e-07
"505" 144.5 88.5 -2.38418579101562e-07
"506" 145.5 88.5 -2.38418579101562e-07
"507" 146.5 88.5 -2.38418579101562e-07
"508" 147.5 88.5 -2.38418579101562e-07
"509" 148.5 88.5 -2.38418579101562e-07
"510" 149.5 88.5 -2.38418579101562e-07
"511" 150.5 88.5 -2.38418579101562e-07
"512" 151.5 88.5 -2.38418579101562e-07
"513" 152.5 88.5 -2.38418579101562e-07
"514" 153.5 88.5 -2.38418579101562e-07
"515" 154.5 88.5 -2.38418579101562e-07
"516" 155.5 88.5 -2.38418579101562e-07
"517" 156.5 88.5 -2.38418579101562e-07
"518" 157.5 88.5 -2.38418579101562e-07
"519" 158.5 88.5 -2.38418579101562e-07
"520" 159.5 88.5 -2.38418579101562e-07
"521" 160.5 88.5 -2.38418579101562e-07
"522" 161.5 88.5 -2.38418579101562e-07
"523" 162.5 88.5 -2.38418579101562e-07
"524" 163.5 88.5 -2.38418579101562e-07
"525" 164.5 88.5 -2.38418579101562e-07
"526" 165.5 88.5 -2.38418579101562e-07
"527" 166.5 88.5 -2.38418579101562e-07
"528" 167.5 88.5 -2.38418579101562e-07
"529" 168.5 88.5 -2.38418579101562e-07
"530" 169.5 88.5 -2.38418579101562e-07
"531" 170.5 88.5 -2.38418579101562e-07
"532" 171.5 88.5 -2.38418579101562e-07
"533" 172.5 88.5 -2.38418579101562e-07
"534" 173.5 88.5 -2.38418579101562e-07
"535" 174.5 88.5 -2.38418579101562e-07
"536" 175.5 88.5 -2.38418579101562e-07
"537" 176.5 88.5 -2.38418579101562e-07
"538" 177.5 88.5 -2.38418579101562e-07
"539" 178.5 88.5 -2.38418579101562e-07
"540" 179.5 88.5 -2.38418579101562e-07
"541" -179.5 88.5 -2.38418579101562e-07
"542" -178.5 88.5 -2.38418579101562e-07
"543" -177.5 88.5 -2.38418579101562e-07
"544" -176.5 88.5 -2.38418579101562e-07
"545" -175.5 88.5 -2.38418579101562e-07
"546" -174.5 88.5 -2.38418579101562e-07
"547" -173.5 88.5 -2.38418579101562e-07
"548" -172.5 88.5 -2.38418579101562e-07
"549" -171.5 88.5 -2.38418579101562e-07
"550" -170.5 88.5 -2.38418579101562e-07
"551" -169.5 88.5 -2.38418579101562e-07
"552" -168.5 88.5 -2.38418579101562e-07
"553" -167.5 88.5 -2.38418579101562e-07
"554" -166.5 88.5 -2.38418579101562e-07
"555" -165.5 88.5 -2.38418579101562e-07
"556" -164.5 88.5 -2.38418579101562e-07
"557" -163.5 88.5 -2.38418579101562e-07
"558" -162.5 88.5 -2.38418579101562e-07
"559" -161.5 88.5 -2.38418579101562e-07
"560" -160.5 88.5 -2.38418579101562e-07
"561" -159.5 88.5 -2.38418579101562e-07
"562" -158.5 88.5 -2.38418579101562e-07
"563" -157.5 88.5 -2.38418579101562e-07
"564" -156.5 88.5 -2.38418579101562e-07
"565" -155.5 88.5 -2.38418579101562e-07
"566" -154.5 88.5 -2.38418579101562e-07
"567" -153.5 88.5 -2.38418579101562e-07
"568" -152.5 88.5 -2.38418579101562e-07
"569" -151.5 88.5 -2.38418579101562e-07
"570" -150.5 88.5 -2.38418579101562e-07
"571" -149.5 88.5 -2.38418579101562e-07
"572" -148.5 88.5 -2.38418579101562e-07
"573" -147.5 88.5 -2.38418579101562e-07
"574" -146.5 88.5 -2.38418579101562e-07
"575" -145.5 88.5 -2.38418579101562e-07
"576" -144.5 88.5 -2.38418579101562e-07
"577" -143.5 88.5 -2.38418579101562e-07
"578" -142.5 88.5 -2.38418579101562e-07
"579" -141.5 88.5 -2.38418579101562e-07
"580" -140.5 88.5 -2.38418579101562e-07
"581" -139.5 88.5 -2.38418579101562e-07
"582" -138.5 88.5 -2.38418579101562e-07
"583" -137.5 88.5 -2.38418579101562e-07
"584" -136.5 88.5 -2.38418579101562e-07
"585" -135.5 88.5 -2.38418579101562e-07
